member,segment,priority,churn_risk,risk_band,value_band,clv,fwd_value,recency,flights_total,flights_6m,momentum,tenure_months,redeem_rate,Loyalty Card,Province,City
186015,Core Frequent Flyers,P3,0.387,Medium,Standard,3954.34,2424.0,1.0,41,13,0.0769,39,0.0255,Star,British Columbia,Vancouver
461108,New Climbers,P3,0.419,Medium,Standard,3954.34,2298.0,1.0,1,1,1.0,2,0.0,Star,Quebec,Montreal
589580,Core Frequent Flyers,P3,0.3185,Medium,Standard,3954.34,2695.0,1.0,52,14,0.25,40,0.0148,Star,British Columbia,Whistler
623688,Core Frequent Flyers,P3,0.3378,Medium,Standard,3954.34,2619.0,1.0,54,14,0.1538,31,0.0212,Star,Ontario,London
256147,Core Frequent Flyers,P3,0.1647,Low,Standard,3958.0,3306.0,2.0,46,11,0.2,75,0.0047,Star,Ontario,Toronto
329382,Sleeping Enrollees,P2,0.9802,High,Standard,3961.59,78.0,99.0,0,0,0.0,76,0.0,Star,Quebec,Montreal
140392,Core Frequent Flyers,P3,0.2505,Low,Standard,3963.39,2970.0,2.0,32,11,0.7143,65,0.0258,Star,British Columbia,Vancouver
112522,Core Frequent Flyers,P3,0.0447,Low,Standard,5636.74,5385.0,0.0,50,37,1.7143,10,0.0,Aurora,Alberta,Peace River
230908,Core Frequent Flyers,P3,0.1151,Low,Standard,3964.15,3508.0,2.0,49,13,0.75,79,0.0125,Star,British Columbia,Vancouver
972581,Core Frequent Flyers,P3,0.2308,Low,Standard,3964.53,3050.0,0.0,28,8,0.8,34,0.0372,Star,British Columbia,Vancouver
357549,Sleeping Enrollees,P3,0.3388,Medium,Standard,3964.73,2621.0,99.0,0,0,0.0,3,0.0,Star,British Columbia,Whistler
330694,Core Frequent Flyers,P3,0.0488,Low,Mid,6172.91,5872.0,1.0,38,14,-0.4,10,0.0049,Aurora,Alberta,Edmonton
910875,Core Frequent Flyers,P3,0.1571,Low,Standard,3966.13,3343.0,0.0,32,12,0.0,73,0.0094,Star,Quebec,Hull
501704,Core Frequent Flyers,P3,0.1782,Low,Standard,3974.86,3267.0,1.0,39,8,-0.3571,67,0.0873,Star,Quebec,Hull
529098,Core Frequent Flyers,P3,0.1181,Low,Standard,3974.86,3505.0,1.0,24,12,0.625,14,0.0456,Star,British Columbia,Vancouver
265297,New Climbers,P2,0.6829,High,Standard,3978.67,1262.0,0.0,11,11,11.0,5,0.0,Star,Manitoba,Winnipeg
567875,Core Frequent Flyers,P3,0.209,Low,Standard,3979.72,3148.0,0.0,15,8,1.25,19,0.0,Star,Quebec,Quebec City
688524,Core Frequent Flyers,P3,0.2808,Low,Standard,3980.42,2863.0,0.0,24,5,-0.3333,69,0.0805,Star,Manitoba,Winnipeg
269070,Core Frequent Flyers,P3,0.1104,Low,Standard,3985.32,3546.0,0.0,42,5,-0.4,71,0.023,Star,British Columbia,Vancouver
387705,Core Frequent Flyers,P3,0.1916,Low,Standard,3985.32,3222.0,1.0,45,11,-0.2,68,0.0237,Star,Quebec,Hull
923293,Core Frequent Flyers,P3,0.0912,Low,Standard,3985.55,3622.0,0.0,41,4,-0.1667,30,0.0162,Star,Saskatchewan,Regina
789157,New Climbers,P2,0.7287,High,Standard,3995.36,1084.0,1.0,3,3,3.0,3,0.0,Star,British Columbia,Vancouver
984713,New Climbers,P2,0.7319,High,Standard,3997.48,1072.0,1.0,5,5,5.0,4,0.0563,Star,Ontario,Sudbury
114835,Core Frequent Flyers,P3,0.1389,Low,Standard,4001.52,3446.0,0.0,30,11,0.0,17,0.0,Star,Ontario,Toronto
328936,Cooling Veterans,P3,0.1369,Low,Standard,4005.72,3458.0,4.0,45,8,-0.1818,45,0.014,Star,Ontario,Thunder Bay
845864,Core Frequent Flyers,P3,0.098,Low,Standard,4013.85,3620.0,0.0,41,2,-0.7857,68,0.0251,Star,British Columbia,Vancouver
645265,Core Frequent Flyers,P3,0.2122,Low,Standard,4013.95,3162.0,0.0,32,12,2.25,69,0.0084,Star,Quebec,Quebec City
223587,Core Frequent Flyers,P3,0.2805,Low,Standard,4013.96,2888.0,0.0,28,11,0.5,16,0.0121,Star,British Columbia,Vancouver
158560,Core Frequent Flyers,P3,0.3787,Medium,Standard,4014.45,2494.0,0.0,33,10,0.2222,36,0.0368,Star,British Columbia,Vancouver
417584,Cooling Veterans,P3,0.2075,Low,Standard,4014.45,3182.0,2.0,36,8,-0.1,55,0.0117,Star,British Columbia,Vancouver
472521,Core Frequent Flyers,P3,0.1159,Low,Mid,6265.34,5539.0,0.0,47,13,-0.6,9,0.0067,Aurora,Alberta,Edmonton
425854,Cooling Veterans,P3,0.4439,Medium,Standard,4016.13,2233.0,6.0,37,0,-0.9375,25,0.0121,Star,Ontario,Toronto
695855,Core Frequent Flyers,P3,0.0552,Low,Standard,4019.38,3798.0,0.0,34,6,-0.5,68,0.0099,Star,Quebec,Montreal
699511,Cooling Veterans,P3,0.1604,Low,Standard,4019.38,3375.0,3.0,28,5,0.5,53,0.0,Star,British Columbia,West Vancouver
377322,Core Frequent Flyers,P3,0.3988,Medium,Standard,4023.81,2419.0,1.0,54,14,0.0714,31,0.0246,Star,Alberta,Edmonton
511053,Core Frequent Flyers,P3,0.1933,Low,Standard,4023.81,3246.0,0.0,26,8,1.25,45,0.0197,Star,Ontario,Toronto
890753,Core Frequent Flyers,P3,0.2411,Low,Standard,4025.1,3055.0,1.0,23,9,0.0,15,0.0185,Star,Quebec,Montreal
796670,Core Frequent Flyers,P3,0.3428,Medium,Standard,4035.68,2652.0,0.0,45,8,0.125,58,0.0116,Star,Manitoba,Winnipeg
556136,Core Frequent Flyers,P3,0.1362,Low,Standard,4035.77,3486.0,0.0,39,11,0.0909,23,0.0104,Star,Quebec,Montreal
513081,Core Frequent Flyers,P3,0.1651,Low,Standard,4037.5,3371.0,0.0,24,5,-0.25,37,0.0602,Star,Alberta,Edmonton
930718,Core Frequent Flyers,P3,0.3766,Medium,Standard,4037.55,2517.0,2.0,53,15,0.2308,41,0.0164,Star,Quebec,Montreal
235872,Core Frequent Flyers,P3,0.1082,Low,Standard,4046.94,3609.0,0.0,44,13,1.3333,69,0.0216,Star,Ontario,Toronto
295147,Core Frequent Flyers,P3,0.2759,Low,Standard,4048.16,2931.0,1.0,32,10,0.375,19,0.0357,Star,British Columbia,Kelowna
306110,Core Frequent Flyers,P3,0.1872,Low,Standard,4053.37,3295.0,0.0,29,8,-0.25,67,0.0488,Star,Ontario,Toronto
295217,Cooling Veterans,P3,0.1917,Low,Standard,4059.57,3281.0,3.0,29,9,-0.0909,30,0.0344,Star,Ontario,Toronto
591731,Core Frequent Flyers,P3,0.1483,Low,Standard,4064.18,3461.0,0.0,47,14,0.5,63,0.0091,Star,Ontario,Toronto
326905,Cooling Veterans,P3,0.2419,Low,Standard,4068.09,3084.0,2.0,34,9,0.4286,22,0.0131,Star,British Columbia,Vancouver
375511,Core Frequent Flyers,P3,0.2857,Low,Standard,4070.05,2907.0,2.0,50,12,0.0,53,0.019,Star,Quebec,Montreal
485283,Core Frequent Flyers,P3,0.3039,Medium,Standard,4072.85,2835.0,0.0,19,10,0.375,15,0.0149,Star,Ontario,Toronto
920716,Core Frequent Flyers,P3,0.0365,Low,Mid,7098.91,6840.0,0.0,43,31,1.4615,8,0.0058,Aurora,Alberta,Peace River
797685,Core Frequent Flyers,P3,0.3229,Medium,Standard,4079.13,2762.0,0.0,31,13,0.5556,18,0.0296,Star,Alberta,Edmonton
216467,Core Frequent Flyers,P3,0.1454,Low,Standard,4083.56,3490.0,0.0,32,8,-0.1818,53,0.0195,Star,New Brunswick,Fredericton
958839,New Climbers,P3,0.4811,Medium,Standard,4083.56,2119.0,1.0,9,9,9.0,4,0.0,Star,Quebec,Montreal
746226,New Climbers,P3,0.1139,Low,Standard,4089.04,3623.0,0.0,6,6,6.0,11,0.0,Star,British Columbia,Whistler
484718,Core Frequent Flyers,P3,0.2016,Low,Standard,4089.46,3265.0,1.0,36,10,0.1,78,0.0329,Star,British Columbia,Vancouver
995091,Core Frequent Flyers,P3,0.2794,Low,Standard,4095.2,2951.0,0.0,16,11,1.0,15,0.0202,Star,British Columbia,Whistler
632793,Core Frequent Flyers,P3,0.347,Medium,Standard,4097.37,2676.0,0.0,33,12,1.6,30,0.0129,Star,Quebec,Hull
705196,Core Frequent Flyers,P3,0.2045,Low,Standard,4101.94,3263.0,0.0,57,17,0.3846,61,0.0197,Star,British Columbia,Whistler
123094,Core Frequent Flyers,P3,0.0732,Low,Standard,4103.85,3803.0,0.0,24,12,0.0,11,0.01,Star,British Columbia,Vancouver
366540,Core Frequent Flyers,P3,0.06,Low,Mid,7288.88,6851.0,0.0,69,51,1.7368,9,0.0066,Aurora,Alberta,Calgary
119488,Core Frequent Flyers,P3,0.1955,Low,Standard,4108.26,3305.0,0.0,33,10,0.0,18,0.0,Star,Quebec,Tremblant
287750,Core Frequent Flyers,P3,0.1704,Low,Standard,4109.31,3409.0,1.0,48,15,0.0667,76,0.0273,Star,Ontario,Ottawa
735846,Core Frequent Flyers,P3,0.145,Low,Standard,4109.79,3514.0,0.0,40,21,0.5714,76,0.0401,Star,Ontario,Trenton
606026,Core Frequent Flyers,P3,0.2767,Low,Standard,4110.62,2973.0,1.0,50,15,0.7778,41,0.0147,Star,British Columbia,Vancouver
460291,Core Frequent Flyers,P3,0.1731,Low,Standard,4111.2,3400.0,0.0,41,13,0.2727,39,0.0,Star,British Columbia,West Vancouver
743001,Core Frequent Flyers,P3,0.3614,Medium,Standard,4111.89,2626.0,0.0,29,12,0.3,19,0.0286,Star,British Columbia,Vancouver
869799,Cooling Veterans,P3,0.2692,Low,Standard,4111.89,3005.0,2.0,29,5,-0.6667,45,0.0161,Star,Ontario,Toronto
279419,Core Frequent Flyers,P3,0.0936,Low,Standard,4117.37,3732.0,0.0,81,24,0.4706,65,0.032,Star,British Columbia,West Vancouver
170585,Core Frequent Flyers,P3,0.1497,Low,Standard,4118.59,3502.0,0.0,34,8,-0.1,64,0.0079,Star,Ontario,Thunder Bay
188340,Core Frequent Flyers,P3,0.2096,Low,Standard,4118.59,3255.0,0.0,51,20,0.75,20,0.0227,Star,Ontario,Toronto
670817,Core Frequent Flyers,P3,0.2249,Low,Standard,4118.59,3192.0,0.0,44,13,0.2727,24,0.0106,Star,Ontario,Ottawa
509513,Core Frequent Flyers,P3,0.1518,Low,Standard,4121.25,3496.0,0.0,49,16,0.8889,72,0.0062,Star,British Columbia,Vancouver
779247,Core Frequent Flyers,P3,0.2297,Low,Standard,4122.57,3176.0,0.0,50,16,0.7,75,0.0093,Star,Manitoba,Winnipeg
111255,Core Frequent Flyers,P3,0.156,Low,Standard,4122.96,3480.0,0.0,48,10,-0.3125,69,0.0,Star,Quebec,Hull
763061,Cooling Veterans,P3,0.3766,Medium,Standard,4126.61,2572.0,7.0,16,0,-0.8333,56,0.0181,Star,Ontario,Toronto
766335,Cooling Veterans,P3,0.0668,Low,Mid,7482.49,6983.0,1.0,31,4,-0.8214,10,0.0072,Aurora,Alberta,Edmonton
428919,Cooling Veterans,P3,0.2592,Low,Standard,4139.9,3067.0,2.0,35,7,-0.3846,41,0.0,Star,Quebec,Montreal
139863,Core Frequent Flyers,P3,0.2311,Low,Standard,4142.56,3185.0,0.0,30,11,2.0,38,0.0151,Star,Quebec,Montreal
695755,Sleeping Enrollees,P2,0.9802,High,Standard,4144.87,82.0,99.0,0,0,0.0,80,0.0,Star,British Columbia,West Vancouver
355331,Core Frequent Flyers,P3,0.1405,Low,Standard,4145.02,3563.0,0.0,51,11,0.2,65,0.0346,Star,Ontario,Thunder Bay
578837,Cooling Veterans,P3,0.1733,Low,Standard,4152.65,3433.0,4.0,25,2,0.0,79,0.0301,Star,Ontario,Toronto
601407,Core Frequent Flyers,P3,0.2898,Low,Standard,4165.17,2958.0,0.0,37,13,0.0,39,0.0,Star,Ontario,Toronto
700871,Core Frequent Flyers,P3,0.3274,Medium,Standard,4165.25,2801.0,0.0,39,13,3.6667,36,0.0,Star,Newfoundland,St. John's
203809,Sleeping Enrollees,P2,0.9802,High,Standard,4165.35,82.0,99.0,0,0,0.0,77,0.0,Star,Alberta,Edmonton
705589,Core Frequent Flyers,P3,0.1317,Low,Standard,4165.99,3618.0,0.0,44,8,-0.1,79,0.006,Star,Ontario,Toronto
354438,New Climbers,P2,0.71,High,Standard,4167.09,1208.0,1.0,12,12,12.0,3,0.0159,Star,Quebec,Montreal
746060,Core Frequent Flyers,P3,0.2203,Low,Standard,4167.09,3249.0,0.0,44,11,0.7143,56,0.0062,Star,British Columbia,Victoria
469718,Core Frequent Flyers,P3,0.288,Low,Standard,4167.42,2967.0,1.0,36,12,2.25,71,0.0138,Star,Ontario,Toronto
164429,Core Frequent Flyers,P3,0.1373,Low,Standard,4169.36,3597.0,1.0,38,3,-0.6,75,0.0415,Star,British Columbia,Dawson Creek
708373,Core Frequent Flyers,P3,0.2927,Low,Standard,4169.36,2949.0,0.0,42,11,-0.0769,21,0.0,Star,Ontario,Toronto
225088,Core Frequent Flyers,P3,0.1889,Low,Standard,4170.34,3382.0,0.0,32,6,-0.3636,39,0.0,Star,British Columbia,Vancouver
100214,Core Frequent Flyers,P3,0.2403,Low,Standard,4170.57,3168.0,0.0,22,9,1.5,40,0.0225,Star,British Columbia,Vancouver
459999,Cooling Veterans,P3,0.2592,Low,Standard,4170.69,3090.0,1.0,25,9,-0.0909,15,0.0196,Star,Quebec,Tremblant
268128,Core Frequent Flyers,P3,0.3776,Medium,Standard,4177.88,2600.0,2.0,47,13,-0.125,71,0.0125,Star,Ontario,Toronto
930584,Core Frequent Flyers,P3,0.1304,Low,Standard,4185.76,3640.0,0.0,43,8,-0.5263,41,0.0091,Star,British Columbia,Vancouver
327796,Core Frequent Flyers,P3,0.2768,Low,Standard,4191.06,3031.0,1.0,28,17,2.0,18,0.0076,Star,Quebec,Quebec City
947467,Core Frequent Flyers,P3,0.3655,Medium,Standard,4196.43,2663.0,0.0,39,13,0.4,46,0.0329,Star,British Columbia,Vancouver
743510,Core Frequent Flyers,P3,0.2895,Low,Standard,4196.65,2982.0,0.0,32,17,1.25,31,0.0087,Star,British Columbia,Vancouver
580324,Core Frequent Flyers,P3,0.1752,Low,Standard,4198.03,3463.0,1.0,22,8,0.8,66,0.0277,Star,British Columbia,Vancouver
845613,New Climbers,P3,0.5141,Medium,Standard,4198.03,2040.0,0.0,3,3,3.0,2,0.1461,Star,Quebec,Montreal
645919,Core Frequent Flyers,P3,0.1141,Low,Mid,7484.31,6630.0,0.0,42,16,-0.3704,9,0.0,Aurora,Alberta,Edmonton
423324,Cooling Veterans,P3,0.0448,Low,Standard,4200.37,4012.0,3.0,10,3,-0.5,12,0.0,Star,Quebec,Montreal
101945,Core Frequent Flyers,P3,0.1593,Low,Standard,4202.66,3533.0,0.0,39,11,0.2,61,0.0193,Star,Nova Scotia,Halifax
713636,Cooling Veterans,P3,0.2448,Low,Standard,4212.8,3182.0,4.0,29,3,-0.3333,52,0.0127,Star,Ontario,London
302509,Core Frequent Flyers,P3,0.2397,Low,Standard,4213.92,3204.0,0.0,27,10,0.5714,21,0.0,Star,British Columbia,Dawson Creek
789421,Cooling Veterans,P3,0.1921,Low,Standard,4217.86,3407.0,5.0,30,6,-0.3,25,0.0,Star,British Columbia,Vancouver
675879,Core Frequent Flyers,P3,0.0571,Low,Mid,8000.55,7544.0,0.0,81,42,0.075,10,0.0031,Aurora,Alberta,Edmonton
404426,Core Frequent Flyers,P3,0.1763,Low,Standard,4223.27,3479.0,0.0,25,10,0.8333,51,0.0345,Star,British Columbia,Vancouver
827194,Core Frequent Flyers,P3,0.0582,Low,Mid,8255.76,7775.0,1.0,44,32,1.5385,9,0.0113,Aurora,Alberta,Edmonton
438023,Core Frequent Flyers,P3,0.2539,Low,Standard,4228.73,3155.0,1.0,26,9,0.4286,71,0.0,Star,British Columbia,West Vancouver
872932,Core Frequent Flyers,P3,0.3803,Medium,Standard,4236.3,2625.0,0.0,42,15,0.3333,45,0.0088,Star,Quebec,Montreal
407945,Core Frequent Flyers,P3,0.1518,Low,Standard,4236.47,3593.0,0.0,49,15,0.4545,72,0.0118,Star,New Brunswick,Fredericton
211714,Core Frequent Flyers,P3,0.3519,Medium,Standard,4236.84,2746.0,0.0,49,12,0.1818,42,0.0505,Star,British Columbia,Vancouver
410982,Core Frequent Flyers,P3,0.2216,Low,Standard,4237.37,3298.0,0.0,42,12,0.625,22,0.0343,Star,Ontario,Trenton
905213,Cooling Veterans,P3,0.116,Low,Standard,4237.37,3746.0,4.0,32,7,-0.2727,38,0.0305,Star,British Columbia,Vancouver
147898,Core Frequent Flyers,P3,0.1009,Low,Standard,4241.64,3814.0,1.0,36,7,-0.2,76,0.0246,Star,Quebec,Tremblant
610946,Core Frequent Flyers,P3,0.1582,Low,Standard,4244.47,3573.0,0.0,45,13,0.0769,24,0.0536,Star,Manitoba,Winnipeg
383108,Core Frequent Flyers,P3,0.1071,Low,Standard,4247.68,3793.0,0.0,39,11,-0.1429,78,0.0071,Star,British Columbia,Vancouver
836343,Cooling Veterans,P3,0.3619,Medium,Standard,4247.68,2710.0,2.0,33,6,0.1667,20,0.0127,Star,Ontario,Toronto
110262,Core Frequent Flyers,P3,0.0506,Low,Mid,9427.68,8950.0,0.0,45,23,0.0435,10,0.007,Aurora,Alberta,Edmonton
585357,Cooling Veterans,P3,0.2762,Low,Standard,4250.28,3076.0,3.0,51,13,0.0,26,0.0229,Star,Quebec,Quebec City
784804,Core Frequent Flyers,P3,0.2957,Low,Standard,4250.28,2993.0,0.0,24,11,0.7143,40,0.0,Star,Alberta,Banff
719633,Sleeping Enrollees,P2,0.9694,High,Standard,4250.78,130.0,99.0,0,0,0.0,24,0.0,Star,British Columbia,Victoria
715764,Core Frequent Flyers,P3,0.2028,Low,Standard,4253.28,3391.0,1.0,23,3,-0.3333,28,0.0602,Star,Manitoba,Winnipeg
753473,Core Frequent Flyers,P3,0.1027,Low,Standard,4254.62,3817.0,0.0,50,11,-0.25,65,0.0,Star,Ontario,Toronto
980856,Core Frequent Flyers,P3,0.2811,Low,Standard,4254.62,3059.0,1.0,39,9,0.4286,46,0.0238,Star,Nova Scotia,Halifax
271660,Cooling Veterans,P3,0.1804,Low,Standard,4270.03,3500.0,4.0,25,10,1.2,44,0.0,Star,British Columbia,Vancouver
342980,Core Frequent Flyers,P3,0.0542,Low,Top,19480.5,18424.0,0.0,29,19,0.8182,10,0.0,Aurora,Alberta,Peace River
830547,New Climbers,P2,0.7355,High,Standard,4271.2,1130.0,0.0,10,10,10.0,7,0.0,Star,British Columbia,Vancouver
264936,Core Frequent Flyers,P3,0.1994,Low,Standard,4272.81,3421.0,0.0,40,13,1.0,64,0.0119,Star,British Columbia,Whistler
976513,Core Frequent Flyers,P3,0.231,Low,Standard,4273.59,3286.0,0.0,44,13,0.4,52,0.0215,Star,Quebec,Quebec City
828776,Core Frequent Flyers,P3,0.3165,Medium,Standard,4274.62,2922.0,0.0,31,8,-0.1818,19,0.0,Star,Ontario,Toronto
240362,Cooling Veterans,P3,0.1725,Low,Standard,4276.36,3539.0,4.0,26,7,0.0,50,0.0308,Star,Ontario,Toronto
137845,Core Frequent Flyers,P3,0.1681,Low,Standard,4277.27,3558.0,0.0,50,16,0.8889,66,0.0137,Star,British Columbia,Dawson Creek
430569,Core Frequent Flyers,P3,0.1663,Low,Standard,4277.56,3566.0,0.0,67,25,0.4444,26,0.0179,Star,Quebec,Montreal
317001,New Climbers,P2,0.7163,High,Standard,4282.95,1215.0,0.0,4,4,4.0,4,0.1535,Star,Ontario,Trenton
625870,Core Frequent Flyers,P3,0.1916,Low,Standard,4282.95,3462.0,0.0,45,16,0.7,64,0.0086,Star,Ontario,Toronto
